POS,Name,OVR,CType,CYear,CTM,CON/STU,POW/MOV,EYE/CON,FLD/STA,L10,SELL,MC,St,Act/Deact,QS,Sell
SP,Sam Zoldak,52,Snapshot,1946,St. Louis Browns,40,73,72,74,19,0,0,Inactive,Activate,QS 5,Sell
SP,Bruce Zimmermann,65,2024 MLB,2024,Baltimore Orioles,72,69,87,62,55,0,2,Inactive,Activate,Locked,
SP,Angel Zerpa,63,2024 MLB,2024,Kansas City Royals,68,72,79,53,75,0,2,Inactive,Activate,Locked,
C,Seby Zavala,42,2024 MLB,2024,Seattle Mariners,55,70,65,66,9,0,2,Inactive,Activate,Locked,
RP,Eddie Yuhas,65,RS,1952,St. Louis Cardinals,48,85,67,21,54,0,0,Inactive,Activate,QS 25,Sell
LF,Jacob Young,43,2024 MLB,2024,Washington Nationals,65,10,61,96,11,0,2,Inactive,Activate,Locked,
RP,Alex Young,49,2024 MLB,2024,Cincinnati Reds,80,65,74,18,9,0,2,Inactive,Activate,Locked,
3B,Eddie Yost,44,Snapshot,1948,Washington Senators,64,27,83,47,28,0,0,Inactive,Activate,QS 5,Sell
1B,Rudy York,63,All-Star,1946,Boston Red Sox,59,87,86,76,46,0,0,Inactive,Activate,QS 25,Sell
LF,Christian Yelich,69,2024 MLB,2024,Milwaukee Brewers,70,74,97,61,66,0,2,Inactive,Activate,Locked,
C,Steve Yeager,55,Snapshot,1974,Los Angeles Dodgers,56,84,70,68,52,0,0,Inactive,Activate,QS 5,Sell
RP,Kirby Yates,48,2024 MLB,2024,Texas Rangers,104,68,53,14,9,0,2,Inactive,Activate,Locked,
SP,Ryan Yarbrough,63,2024 MLB,2024,Los Angeles Dodgers,73,70,98,53,51,0,2,Inactive,Activate,QS 25,Sell
RP,Esteban Yan,54,Snapshot,1998,Tampa Bay Devil Rays,74,76,48,17,21,0,0,Inactive,Activate,QS 5,Sell
RF,Johnny Wyrostek,54,All-Star,1951,Cincinnati Reds,82,26,64,51,16,0,0,Inactive,Activate,QS 5,Sell
C,Austin Wynns,41,2024 MLB,2024,Cincinnati Reds,57,51,68,57,9,0,2,Inactive,Activate,Locked,
RP,John Wyatt,67,UnH,1966,Boston Red Sox,102,82,39,19,52,0,0,Inactive,Activate,QS 25,Sell
SP,Rasty Wright,68,UnH,1922,St. Louis Browns,53,76,65,84,111,0,1,Inactive,Activate,QS 25,Sell
CF,Rasty Wright,57,RS,1890,Syracuse Stars,69,18,118,57,49,0,0,Inactive,Activate,QS 5,Sell
3B,Craig Worthington,46,RS,1989,Baltimore Orioles,55,77,86,51,16,0,0,Inactive,Activate,QS 5,Sell
3B,Craig Worthington,46,RS,1989,Baltimore Orioles,55,77,86,51,16,0,0,Inactive,Activate,QS 5,Sell
SP,Al Worthington,63,RS,1953,New York Giants,63,82,45,66,68,0,0,Inactive,Activate,QS 25,Sell
SP,Rich Wortham,50,UnH,1979,Chicago White Sox,65,77,38,69,17,0,0,Inactive,Activate,QS 5,Sell
SP,Wilbur Wood,69,All-Star,1974,Chicago White Sox,55,73,89,88,129,0,1,Inactive,Activate,QS 25,Sell
SP,Alex Wood,72,2024 MLB,2024,Oakland Athletics,77,78,81,55,411,0,2,Reserve,Deactivate,QS 100,Sell
3B,Harry Wolverton,63,UnH,1904,Philadelphia Phillies,81,26,68,52,45,0,0,Inactive,Activate,QS 25,Sell
SP,Randy Wolf,46,RS,1999,Philadelphia Phillies,78,67,43,61,87,0,1,Inactive,Activate,Locked,
SP,Bobby Witt,53,Snapshot,1987,Texas Rangers,124,85,14,63,102,0,1,Inactive,Activate,Locked,
2B,Brett Wisely,55,2024 MLB,2024,San Francisco Giants,62,55,75,62,8,0,2,Inactive,Activate,Locked,
SS,Masyn Winn,67,2024 MLB,2024,St. Louis Cardinals,66,51,65,79,45,0,2,Inactive,Activate,Locked,
SP,Keaton Winn,62,2024 MLB,2024,San Francisco Giants,68,71,82,52,48,0,2,Inactive,Activate,Locked,
RP,Josh Winckowski,65,2024 MLB,2024,Boston Red Sox,68,72,82,22,42,0,2,Inactive,Activate,Locked,
SP,Allan Winans,55,2024 MLB,2024,Atlanta Braves,60,69,83,51,10,0,2,Inactive,Activate,QS 5,Sell
SP,Snake Wiltse,58,RS,1901,Philadelphia Athletics,40,73,76,109,17,0,0,Inactive,Activate,QS 5,Sell
RP,Steven Wilson,65,2024 MLB,2024,Chicago White Sox,93,75,58,21,65,0,2,Inactive,Activate,Locked,
CF,Preston Wilson,50,RS,1999,Florida Marlins,62,78,69,56,81,0,1,Inactive,Activate,Locked,
C,Jimmie Wilson,57,Snapshot,1926,Philadelphia Phillies,65,70,61,51,54,0,1,Inactive,Activate,QS 5,Sell
SP,Highball Wilson,46,UnH,1903,Washington Senators,33,71,96,108,17,0,0,Inactive,Activate,QS 5,Sell
RP,Bryse Wilson,63,2024 MLB,2024,Milwaukee Brewers,61,71,85,39,52,0,2,Inactive,Activate,Locked,
RP,Amos Willingham,41,2024 MLB,2024,Washington Nationals,55,65,75,24,8,0,2,Inactive,Activate,Locked,
SP,Brandon Williamson,61,2024 MLB,2024,Cincinnati Reds,77,69,69,53,45,0,2,Inactive,Activate,Locked,
SP,Trevor Williams,58,2024 MLB,2024,Washington Nationals,71,67,84,61,11,0,2,Inactive,Activate,Locked,
RP,Mitch Williams,53,RS,1986,Texas Rangers,119,88,14,15,75,0,1,Inactive,Activate,Locked,
SP,Jerome Williams,45,Peak,2012,Los Angeles Angels,42,70,73,57,15,0,0,Inactive,Activate,QS 5,Sell
SS,Alika Williams,41,2024 MLB,2024,Pittsburgh Pirates,64,34,64,70,11,0,2,Inactive,Activate,Locked,
RP,Hoyt Wilhelm,83,SE,1952,New York Giants,103,79,79,49,1 822,0,0,Reserve,Deactivate,QS 1 000,Sell
