Name,Tm,PA,AB,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,HBP,SH,SF,IBB
Aaron Hicks,TOT,312,269,68,9,1,8,6,0,42,69,0.253,0.353,0.383,0.735,106,103,0,0,1,1
Aaron Judge,NYY,458,367,98,16,0,37,3,1,88,130,0.267,0.406,0.613,1.019,175,225,0,0,3,9
Adam Duvall,BOS,353,320,79,24,2,21,4,0,22,110,0.247,0.303,0.531,0.834,119,170,6,0,5,1
Adam Frazier,BAL,455,412,99,21,2,13,11,4,32,68,0.24,0.3,0.396,0.696,94,163,4,4,2,0
Adley Rutschman,BAL,687,588,163,31,1,20,1,2,92,101,0.277,0.374,0.435,0.809,128,256,2,0,5,6
Adolis García,TEX,632,555,136,29,0,39,9,1,65,175,0.245,0.328,0.508,0.836,123,282,6,0,6,0
AJ Pollock,TOT,144,133,22,4,0,5,0,1,9,32,0.165,0.215,0.308,0.524,46,41,0,0,2,0
Akil Baddoo,DET,357,312,68,13,1,11,14,3,42,89,0.218,0.31,0.372,0.682,86,116,0,2,1,2
Alan Trejo,COL,227,207,48,11,0,4,5,1,16,51,0.232,0.288,0.343,0.631,63,71,1,1,2,0
Alec Bohm,PHI,611,558,153,31,0,20,4,1,42,94,0.274,0.327,0.437,0.765,108,244,5,0,6,1
Alec Burleson,STL,347,315,77,20,1,8,3,1,23,45,0.244,0.3,0.39,0.691,87,123,3,1,2,0
Aledmys Díaz,OAK,344,315,72,20,1,4,1,0,17,66,0.229,0.28,0.337,0.616,76,106,7,1,4,2
Alejandro Kirk,TOR,422,372,93,16,0,8,0,0,42,45,0.25,0.334,0.358,0.692,93,133,6,0,2,1
Alek Thomas,ARI,402,374,86,17,5,9,9,1,19,86,0.23,0.273,0.374,0.647,75,140,4,2,3,1
Alex Bregman,HOU,724,622,163,28,4,25,3,1,92,87,0.262,0.363,0.441,0.804,122,274,8,0,2,1
Alex Call,WSN,439,375,75,14,1,8,9,8,53,78,0.2,0.307,0.307,0.614,72,115,6,3,2,0
Alex Kirilloff,MIN,319,281,76,14,1,11,1,0,28,80,0.27,0.348,0.445,0.793,117,125,7,0,3,1
Alex Verdugo,BOS,602,546,144,37,5,13,5,3,45,93,0.264,0.324,0.421,0.745,100,230,6,0,5,1
Alfonso Rivas,TOT,123,109,25,10,1,3,1,0,9,36,0.229,0.303,0.422,0.725,97,46,3,1,1,0
Alika Williams,PIT,112,101,20,5,0,0,0,0,9,35,0.198,0.27,0.248,0.518,44,25,1,1,0,0
Amed Rosario,TOT,545,510,134,25,8,6,15,2,29,99,0.263,0.305,0.378,0.683,89,193,3,0,3,0
Andrés Gimenez,CLE,616,557,140,27,5,15,30,6,32,112,0.251,0.314,0.399,0.712,98,222,20,4,3,3
Andrew Benintendi,CHW,621,562,147,34,2,5,13,2,52,89,0.262,0.326,0.356,0.682,87,200,3,1,3,5
Andrew Knizner,STL,241,224,54,11,0,10,2,0,12,62,0.241,0.288,0.424,0.712,92,95,3,1,1,0
Andrew McCutchen,PIT,473,390,100,19,0,12,11,3,75,100,0.256,0.378,0.397,0.776,113,155,4,0,4,1
Andrew Vaughn,CHW,615,566,146,30,2,21,0,0,36,129,0.258,0.314,0.429,0.743,101,243,11,0,2,0
Andrew Velazquez,LAA,94,81,14,3,0,2,13,3,10,30,0.173,0.264,0.284,0.548,50,23,0,3,0,0
Andruw Monasterio,MIL,315,282,73,14,1,3,7,2,28,66,0.259,0.33,0.348,0.678,87,98,3,0,2,0
Andy Ibáñez,DET,383,356,94,23,2,11,1,0,24,69,0.264,0.312,0.433,0.744,102,154,1,1,1,0
Anthony Rendon,LAA,183,148,35,6,0,2,2,0,25,27,0.236,0.361,0.318,0.678,88,47,6,0,4,0
Anthony Rizzo,NYY,421,373,91,14,0,12,0,3,35,97,0.244,0.328,0.378,0.706,94,141,12,0,1,1
Anthony Santander,BAL,656,591,152,41,1,28,5,1,55,152,0.257,0.325,0.472,0.797,121,279,6,0,4,1
Anthony Volpe,NYY,601,541,113,23,4,21,24,5,52,167,0.209,0.283,0.383,0.666,81,207,5,1,2,0
Austin Barnes,LAD,200,178,32,5,0,2,2,1,17,43,0.18,0.256,0.242,0.498,36,43,2,1,2,0
Austin Hays,BAL,566,520,143,36,2,16,5,1,38,141,0.275,0.325,0.444,0.769,114,231,3,0,5,1
Austin Hedges,TOT,212,185,34,5,0,1,1,0,11,47,0.184,0.234,0.227,0.461,27,42,2,10,3,0
Austin Nola,SDP,154,130,19,3,0,1,0,0,18,31,0.146,0.26,0.192,0.452,30,25,2,4,0,0
Austin Riley,ATL,715,636,179,32,3,37,3,1,59,172,0.281,0.345,0.516,0.861,128,328,9,0,11,4
Austin Slater,SFG,207,185,50,9,0,5,2,2,20,58,0.27,0.348,0.4,0.748,107,74,2,0,0,0
Austin Wells,NYY,75,70,16,6,0,4,0,0,3,14,0.229,0.257,0.486,0.742,97,34,0,0,1,0
Austin Wynns,TOT,145,130,27,6,0,1,1,0,9,39,0.208,0.268,0.277,0.545,42,36,2,3,1,0
Avisaíl García,MIA,118,108,20,3,1,3,2,0,6,39,0.185,0.241,0.315,0.556,50,34,2,0,0,1
Ben Rortvedt,NYY,79,68,8,1,0,2,0,0,11,19,0.118,0.241,0.221,0.461,28,15,0,0,0,0
Billy McKinney,NYY,147,128,29,3,1,6,1,0,17,39,0.227,0.32,0.406,0.726,98,52,1,0,1,1
Blake Perkins,MIL,168,143,31,7,0,4,5,2,23,46,0.217,0.325,0.35,0.675,86,50,0,2,0,0
Blake Sabol,SFG,344,310,73,10,0,13,4,2,24,117,0.235,0.301,0.394,0.695,91,122,6,2,2,0
Bo Bichette,TOR,601,571,175,30,3,20,5,3,27,115,0.306,0.339,0.475,0.814,123,271,2,0,1,0
Bo Naylor,CLE,230,198,47,13,0,11,5,0,30,53,0.237,0.339,0.47,0.809,124,93,1,0,1,1
Bobby Dalbec,BOS,53,49,10,2,0,1,1,0,4,28,0.204,0.264,0.306,0.57,54,15,0,0,0,0
Bobby Witt Jr.,KCR,694,641,177,28,11,30,49,15,40,121,0.276,0.319,0.495,0.813,120,317,4,1,8,1
Brad Miller,TEX,67,56,12,4,0,1,0,0,10,11,0.214,0.328,0.339,0.668,83,19,0,0,1,0
Brandon Belt,TOR,404,339,86,23,0,19,0,0,61,141,0.254,0.369,0.49,0.858,136,166,2,0,2,1
Brandon Crawford,SFG,320,283,55,11,1,7,3,0,28,81,0.194,0.273,0.314,0.587,63,89,4,1,4,1
Brandon Dixon,SDP,86,79,16,4,0,2,1,0,1,31,0.203,0.244,0.329,0.573,59,26,4,0,2,0
Brandon Drury,LAA,523,485,127,30,3,26,0,2,25,136,0.262,0.306,0.497,0.803,114,241,8,0,5,0
Brandon Lowe,TBR,436,377,87,15,1,21,7,0,50,119,0.231,0.328,0.443,0.771,113,167,6,0,3,0
Brandon Marsh,PHI,472,404,112,25,6,12,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,1,4,2
Brandon Nimmo,NYM,682,592,162,30,6,24,3,3,74,146,0.274,0.363,0.466,0.829,127,276,11,1,4,0
Brayan Rocchio,CLE,86,81,20,6,0,0,0,0,4,27,0.247,0.279,0.321,0.6,68,26,0,0,1,0
Brendan Donovan,STL,371,327,93,10,1,11,5,1,33,53,0.284,0.365,0.422,0.787,115,138,9,1,1,2
Brendan Rodgers,COL,192,178,46,9,1,4,0,0,11,41,0.258,0.313,0.388,0.7,80,69,3,0,0,0
Brent Rooker,OAK,526,463,114,20,1,30,4,0,49,172,0.246,0.329,0.488,0.817,130,226,10,0,4,1
Brenton Doyle,COL,431,399,81,16,5,10,22,5,22,151,0.203,0.25,0.343,0.593,52,137,4,3,3,0
Brett Baty,NYM,389,353,75,12,0,9,2,0,29,109,0.212,0.275,0.323,0.598,65,114,2,1,1,0
Brett Phillips,LAA,71,63,11,1,0,3,3,1,8,36,0.175,0.268,0.333,0.601,63,21,0,0,0,0
Brett Sullivan,SDP,86,81,17,3,0,1,0,0,4,19,0.21,0.244,0.284,0.528,48,23,0,0,1,0
Brett Wisely,SFG,131,120,21,5,0,2,2,1,9,40,0.175,0.231,0.267,0.497,38,32,0,1,1,0
Brian Anderson,MIL,361,318,72,12,3,9,1,3,36,108,0.226,0.31,0.368,0.678,86,117,4,0,3,0
Brice Turang,MIL,448,404,88,9,3,6,26,4,38,94,0.218,0.285,0.3,0.585,62,121,1,3,2,1
Bryan De La Cruz,MIA,626,579,149,32,0,19,4,1,40,142,0.257,0.304,0.411,0.715,92,238,1,0,5,0
Bryan Reynolds,PIT,640,574,151,31,5,24,12,1,53,138,0.263,0.33,0.46,0.79,113,264,7,0,6,2
Bryce Harper,PHI,546,457,134,29,1,21,11,3,80,119,0.293,0.401,0.499,0.9,146,228,5,0,4,8
Bryson Stott,PHI,640,585,164,32,2,15,31,3,39,100,0.28,0.329,0.419,0.747,104,245,7,1,8,1
Bubba Thompson,TEX,60,53,9,4,1,0,4,2,4,16,0.17,0.237,0.283,0.52,41,15,1,1,1,0
