Name,Age,PA,Tm,HR%,SO%,BB%,XBH%,X/H%,SO,BA,OBP,BAbip
Marcus Semien,32,753,TEX,0.0390,0.1460,0.0960,0.0970,0.4000,110,0.276,0.348,0.291
Ronald Acuna Jr.,25,735,ATL,0.0560,0.1140,0.1090,0.1090,0.3700,84,0.337,0.416,0.338
Freddie Freeman,33,730,LAD,0.0400,0.1660,0.0990,0.1230,0.4300,121,0.331,0.41,0.37
Alex Bregman,29,724,HOU,0.0350,0.1200,0.1270,0.0790,0.3500,87,0.262,0.363,0.27
Nathaniel Lowe,27,724,TEX,0.0240,0.2280,0.1290,0.0800,0.3600,165,0.262,0.36,0.329
Matt Olson,29,720,ATL,0.0750,0.2320,0.1440,0.1170,0.4900,167,0.283,0.389,0.302
Kyle Schwarber,30,720,PHI,0.0650,0.2990,0.1750,0.0930,0.5800,215,0.197,0.343,0.209
Steven Kwan,25,718,CLE,0.0070,0.1050,0.0980,0.0670,0.2800,75,0.268,0.34,0.294
Austin Riley,26,715,ATL,0.0520,0.2410,0.0830,0.1010,0.4000,172,0.281,0.345,0.324
Julio Rodriguez,22,714,SEA,0.0450,0.2450,0.0660,0.0990,0.3900,175,0.275,0.333,0.33
Juan Soto,24,708,SDP,0.0490,0.1820,0.1860,0.0960,0.4400,129,0.275,0.41,0.296
Eugenio Suarez,31,694,SEA,0.0320,0.3080,0.1010,0.0740,0.3700,214,0.232,0.323,0.314
Bobby Witt Jr.,23,694,KCR,0.0430,0.1740,0.0580,0.0990,0.3900,121,0.276,0.319,0.295
Mookie Betts,30,693,LAD,0.0560,0.1540,0.1390,0.1150,0.4500,107,0.307,0.408,0.316
Ian Happ,28,691,CHC,0.0300,0.2210,0.1430,0.0870,0.4200,153,0.248,0.36,0.299
Jose Ramirez,30,691,CLE,0.0350,0.1060,0.1060,0.0940,0.3800,73,0.282,0.356,0.285
Trea Turner,30,691,PHI,0.0380,0.2170,0.0650,0.0960,0.3900,150,0.266,0.32,0.31
Nico Hoerner,26,688,CHC,0.0130,0.1210,0.0710,0.0580,0.2300,83,0.283,0.346,0.312
Paul Goldschmidt,35,687,STL,0.0360,0.2340,0.1270,0.0820,0.3500,161,0.268,0.363,0.327
Francisco Lindor,29,687,NYM,0.0450,0.1990,0.0960,0.0960,0.4300,137,0.254,0.336,0.277
Adley Rutschman,25,687,BAL,0.0290,0.1470,0.1340,0.0760,0.3200,101,0.277,0.374,0.303
Spencer Torkelson,23,684,DET,0.0450,0.2500,0.0980,0.0970,0.4700,171,0.233,0.313,0.269
George Springer,33,683,TOR,0.0310,0.1830,0.0880,0.0690,0.3000,125,0.258,0.327,0.291
Vladimir Guerrero Jr.,24,682,TOR,0.0380,0.1470,0.0980,0.0820,0.3500,100,0.264,0.345,0.277
Brandon Nimmo,30,682,NYM,0.0350,0.2140,0.1090,0.0880,0.3700,146,0.274,0.363,0.324
Lane Thomas,27,682,WSN,0.0410,0.2580,0.0530,0.0980,0.4000,176,0.268,0.315,0.325
Teoscar Hernandez,30,678,SEA,0.0380,0.3110,0.0560,0.0840,0.3500,211,0.258,0.305,0.342
Kyle Tucker,26,674,HOU,0.0430,0.1370,0.1190,0.1050,0.4400,92,0.284,0.369,0.289
Gleyber Torres,26,672,NYY,0.0370,0.1460,0.1000,0.0820,0.3400,98,0.273,0.347,0.288
Nick Castellanos,31,671,PHI,0.0430,0.2760,0.0540,0.1010,0.4000,185,0.272,0.311,0.337
Xander Bogaerts,30,665,SDP,0.0290,0.1650,0.0840,0.0780,0.3100,110,0.285,0.35,0.319
Ty France,28,665,SEA,0.0180,0.1760,0.0650,0.0660,0.3000,117,0.25,0.337,0.294
Spencer Steer,25,665,CIN,0.0350,0.2090,0.1020,0.0950,0.4000,139,0.271,0.356,0.318
Christian Walker,32,661,ARI,0.0500,0.1920,0.0940,0.1070,0.4700,127,0.258,0.333,0.272
Ozzie Albies,26,660,ATL,0.0500,0.1620,0.0700,0.1030,0.4100,107,0.28,0.336,0.289
Pete Alonso,28,658,NYM,0.0700,0.2300,0.0990,0.1050,0.5600,151,0.217,0.318,0.205
Joey Meneses,31,657,WSN,0.0200,0.1980,0.0580,0.0760,0.3000,130,0.275,0.321,0.329
Rafael Devers,26,656,BOS,0.0500,0.1920,0.0950,0.1020,0.4300,126,0.271,0.351,0.292
Anthony Santander,28,656,BAL,0.0430,0.2320,0.0840,0.1070,0.4600,152,0.257,0.325,0.299
Randy Arozarena,28,654,TBR,0.0350,0.2390,0.1220,0.0690,0.3200,156,0.254,0.364,0.31
Ketel Marte,29,650,ARI,0.0390,0.1680,0.1090,0.0920,0.3800,109,0.276,0.358,0.3
Jeff McNeil,31,648,NYM,0.0150,0.1000,0.0600,0.0600,0.2500,65,0.27,0.333,0.288
Corbin Carroll,22,645,ARI,0.0390,0.1940,0.0880,0.1010,0.4000,125,0.285,0.362,0.325
Bryan Reynolds,28,640,PIT,0.0380,0.2160,0.0830,0.0940,0.4000,138,0.263,0.33,0.304
Bryson Stott,25,640,PHI,0.0230,0.1560,0.0610,0.0770,0.3000,100,0.28,0.329,0.312
Willy Adames,27,638,MIL,0.0380,0.2590,0.1110,0.0860,0.4600,165,0.217,0.31,0.259
J.P. Crawford,28,638,SEA,0.0300,0.1960,0.1470,0.0850,0.3800,125,0.266,0.38,0.314
Dansby Swanson,29,638,CHC,0.0350,0.2410,0.1030,0.0780,0.3600,154,0.244,0.328,0.297
Fernando Tatis Jr.,24,635,SDP,0.0390,0.2220,0.0840,0.0930,0.4000,141,0.257,0.322,0.299
Jeremy Pena,25,634,HOU,0.0160,0.2040,0.0680,0.0710,0.3000,129,0.263,0.324,0.323
Adolis García,30,632,TEX,0.0620,0.2770,0.1030,0.1080,0.5000,175,0.245,0.328,0.28
Christian Yelich,31,632,MIL,0.0300,0.2220,0.1230,0.0850,0.3500,140,0.278,0.37,0.342
Ryan McMahon,28,627,COL,0.0370,0.3160,0.1090,0.0910,0.4300,198,0.24,0.322,0.326
Bryan De La Cruz,26,626,MIA,0.0300,0.2270,0.0640,0.0820,0.3400,142,0.257,0.304,0.307
Ha-Seong Kim,27,626,SDP,0.0270,0.1980,0.1200,0.0640,0.2900,124,0.26,0.351,0.306
Justin Turner,38,626,BOS,0.0370,0.1760,0.0820,0.0860,0.3500,110,0.276,0.345,0.304
Gunnar Henderson,22,622,BAL,0.0450,0.2560,0.0900,0.1060,0.4600,159,0.255,0.325,0.306
Andrew Benintendi,28,621,CHW,0.0080,0.1430,0.0840,0.0660,0.2800,89,0.262,0.326,0.301
Carlos Santana,37,619,TOT,0.0370,0.1680,0.1050,0.0920,0.4300,104,0.24,0.318,0.255
