//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Year,Peak,Team,LastName,FirstName,NickName,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Buy Order High(CC),Sell Order Low(CC),Last 10 Price(CC),date
Snapshot SP Sam Zoldak SLA 1946,62647,52,7,0,1946,N,St. Louis Browns,Zoldak,Sam,Sad Sam,26,8,12,1918,2,2,1,11,50,54,49,60,55,52,49,52,47,58,54,51,51,55,50,61,56,53,2,1,0,29,16,68,16,22,10,40,73,72,65,89,39,72,72,63,87,40,74,73,66,90,31,0,34,28,0,0,0,0,0,0,0,0,74,33,3,90-92,3,183,28,57,36,24,0,0,0,10,1,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,zoldak001sam,0,35,15,0,0,0,2024-03-15,
MLB 2024 Live SP Bruce Zimmermann BAL,61906,65,1,0,2024,N,Baltimore Orioles,Zimmermann,Bruce,,50,9,2,1995,2,2,1,11,18,14,6,17,16,22,18,14,6,17,16,22,20,15,7,18,17,23,2,2,0,11,16,6,10,33,11,72,69,87,65,67,74,71,88,67,69,72,68,87,65,66,76,64,61,75,0,0,0,0,0,0,0,0,62,49,2,92-94,3,188,19,20,43,13,0,0,0,3,6,5,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,2,0,1,zimmer002bru,31,54,63,0,0,0,2024-03-15,
Rookie Sensation RP Kyle Zimmer KC 2020,63639,87,3,0,2020,N,Kansas City Royals,Zimmer,Kyle,,45,13,9,1991,1,1,1,12,20,35,38,48,17,23,20,35,38,48,17,23,20,35,38,48,17,23,0,2,0,8,5,6,10,3,9,74,114,48,171,87,73,113,48,169,85,75,116,49,172,90,75,63,81,69,0,0,0,0,0,0,0,0,15,89,1,89-91,3,191,28,22,25,24,0,0,0,10,2,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,15,0,0,zimmer000kyl,1244,4000,2906,0,0,0,2024-03-15,
Snapshot SP George Zettlein TRO 1872,62711,77,7,0,1872,N,Troy Haymakers,Zettlein,George,Charmer,61,18,7,1844,1,1,1,11,50,67,39,56,57,47,50,68,39,56,57,47,50,67,39,56,57,47,0,1,0,14,13,6,19,6,3,62,75,85,66,93,61,73,85,64,91,62,75,86,67,94,61,58,57,0,0,0,52,0,0,0,0,0,108,65,4,90-92,4,175,31,30,26,17,0,0,0,58,56,69,69,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,2,5,0,0,zettle001geo,206,970,281,0,15001,15001,2024-03-15,
MLB 2024 Live SP Angel Zerpa KC,61658,63,1,0,2024,N,Kansas City Royals,Zerpa,Angel,,61,27,9,1999,2,2,1,11,24,12,1,20,29,12,24,12,1,20,29,12,24,12,1,20,29,12,0,0,0,14,15,7,19,41,17,68,72,79,68,74,73,76,83,72,85,66,71,79,67,70,57,48,0,49,0,48,0,0,0,0,0,0,53,60,1,94-96,3,183,35,58,52,35,3,3,4,35,36,19,93,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,1,2,0,1,zerpa-000ang,35,64,56,0,0,0,2024-03-15,
MLB 2024 Live C Seby Zavala SEA,61478,42,1,0,2024,N,Seattle Mariners,Zavala,Seby,,44,28,8,1993,1,1,2,0,55,66,70,65,52,66,58,69,73,68,53,70,55,66,69,65,52,65,2,2,0,8,16,58,39,57,40,1,28,1,1,55,1,28,1,1,55,1,28,1,1,56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-,3,180,22,24,49,16,68,69,66,31,33,44,0,66,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,8,0,1,0,1,zavala000seb,0,11,10,0,0,0,2024-03-15,
Snapshot C Gregg Zaun TOR 2005,62916,54,7,0,2005,N,Toronto Blue Jays,Zaun,Gregg,,9,14,4,1971,3,1,2,0,55,51,55,109,70,47,55,51,47,108,68,50,55,51,57,109,71,47,1,0,0,28,25,49,26,4,7,1,12,1,1,23,1,11,1,1,22,1,12,1,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,83-85,4,178,3,9,10,4,64,78,38,7,8,1,0,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,zaun--001gre,0,31,21,0,5001,7501,2024-03-15,
Snapshot RP Dom Zanni CIN 1963,62599,48,7,0,1963,N,Cincinnati Reds,Zanni,Dom,,19,1,3,1932,1,1,1,12,20,35,38,47,17,24,20,35,39,48,17,24,20,35,38,47,17,24,0,2,0,17,3,11,28,26,7,92,72,31,91,56,84,68,30,82,53,99,75,32,98,58,85,90,0,0,0,0,0,0,0,0,0,0,15,55,2,90-92,4,180,36,21,27,24,0,0,0,9,9,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,zanni-001dom,0,25,42,0,5001,0,2024-03-15,
Rookie Sensation SP Geoff Zahn LAD 1974,63772,73,3,0,1974,N,Los Angeles Dodgers,Zahn,Geoff,,38,19,12,1945,2,2,1,11,21,33,35,50,18,23,21,32,34,48,18,23,23,34,36,51,19,24,0,0,0,5,5,6,5,32,6,37,89,102,100,81,37,89,102,100,80,37,90,102,101,81,20,0,25,25,0,26,0,0,0,0,0,0,56,115,1,89-91,4,185,36,19,25,22,0,0,0,7,9,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,zahn--001geo,571,942,896,0,0,15001,2024-03-15,
Snapshot SP Tom Zachary NYY 1929,62676,74,7,0,1929,N,New York Yankees,Zachary,Tom,,16,7,5,1896,2,2,1,11,16,34,36,53,14,22,15,32,43,44,13,22,18,35,34,55,15,23,2,2,0,7,11,6,5,45,10,48,78,90,76,83,48,78,90,77,84,48,78,90,76,83,37,0,50,34,0,0,0,0,0,0,45,0,83,47,2,89-91,3,185,26,33,26,21,0,0,0,1,3,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,zachar001jon,675,3000,1722,0,0,0,2024-03-15,
Rookie Sensation RP Eddie Yuhas STL 1952,63821,65,3,0,1952,N,St. Louis Cardinals,Yuhas,Eddie,,43,5,8,1924,1,1,1,12,20,37,37,51,17,24,20,37,37,52,17,24,20,37,37,51,17,24,0,0,0,7,4,6,10,28,4,48,85,67,90,84,45,77,65,78,73,52,94,70,100,93,0,0,42,0,0,37,0,0,0,0,0,0,21,105,3,90-92,2,185,28,21,24,24,0,0,0,4,3,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,yuhas-001joh,0,75,54,0,10001,0,2024-03-15,
Legend RF Ross Youngs NY1 Peak,63603,93,4,0,1920,Y,New York Giants,Youngs,Ross,Pep,39,10,4,1897,2,1,9,0,93,77,73,89,77,100,80,64,83,82,64,99,97,80,69,91,80,101,2,2,0,67,74,78,64,77,94,1,10,1,1,18,1,9,1,1,18,1,10,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,83-85,3,173,6,7,9,1,0,0,0,80,72,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,4,50,0,0,youngs001roy,5000,14988,6987,0,50001,106667,2024-03-15,
MLB 2024 Live LF Jacob Young WSH,61236,43,1,0,2024,N,Washington Nationals,Young,Jacob,,1,27,7,1999,1,1,7,0,65,55,10,61,78,57,68,57,10,63,80,58,65,55,10,61,78,57,0,0,0,94,77,97,51,57,36,1,28,1,1,55,1,28,1,1,55,1,28,1,1,56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,80-83,3,183,49,54,48,52,3,3,3,79,79,60,0,0,0,0,0,0,96,69,62,0,1,1,1,1,1,1,1,8,0,1,0,1,young-001jac,0,10,11,0,0,0,2024-03-15,
Unsung Heroes 2B Eric Young LAD 1999,64410,69,8,0,1999,N,Los Angeles Dodgers,Young,Eric,,21,18,5,1967,1,1,4,0,100,68,30,88,144,72,104,59,47,112,125,79,100,71,24,80,151,70,0,1,0,96,93,92,97,79,71,1,10,1,1,18,1,9,1,1,18,1,10,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,83-85,3,175,80,83,58,58,0,0,0,7,7,3,0,0,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,2,0,0,young-002eri,889,0,5500,10001,0,0,2024-04-11,
Snapshot 1B Dmitri Young DET 2005,64285,69,7,0,2005,N,Detroit Tigers,Young,Dmitri,,25,11,10,1973,3,1,3,0,74,74,96,64,69,77,77,90,86,52,69,82,73,69,100,69,69,76,2,0,0,27,5,44,22,3,9,1,10,1,1,18,1,9,1,1,18,1,10,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,23,4,83-85,3,188,27,18,25,31,0,0,0,54,40,64,0,0,41,0,0,0,61,0,0,0,1,0,1,0,1,0,1,7,1,2,0,0,young-001dmi,31,80,75,0,0,0,2024-03-28,
Hardware Heroes SP Cy Young CL4 1895,61985,100,9,0,1895,N,Cleveland Spiders,Young,Cy,,58,29,3,1867,1,1,1,11,47,56,43,65,51,50,49,66,51,71,53,51,47,53,41,63,50,50,2,2,0,68,64,67,70,22,6,74,86,103,74,115,75,87,104,75,117,73,84,103,73,113,77,70,79,54,0,0,0,0,65,0,0,0,111,64,2,90-92,4,188,32,31,27,18,0,0,0,5,4,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,200,0,0,young-001den,25000,0,76175,0,0,370000,2024-03-15,
Snapshot 1B Babe Young NY1 1941,62968,63,7,0,1941,N,New York Giants,Young,Babe,,5,1,7,1915,2,2,3,0,60,77,99,74,83,46,55,65,117,86,71,47,62,82,93,70,89,46,3,1,0,39,30,40,46,15,3,1,9,1,1,18,1,10,1,1,18,1,9,1,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,83-85,4,183,25,23,27,32,0,0,0,4,6,2,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,2,0,0,young-001nor,26,39,35,0,0,10001,2024-03-15,
MLB 2024 Live RP Alex Young CIN,61173,49,1,0,2024,N,Cincinnati Reds,Young,Alex,,48,9,9,1993,2,2,1,12,16,16,3,14,18,16,16,16,3,14,18,16,16,16,3,14,18,16,1,1,0,15,18,11,16,42,7,80,65,74,55,72,80,65,75,56,72,80,65,74,55,72,0,0,82,79,77,76,0,0,0,0,0,0,18,69,1,91-93,3,191,27,27,44,21,3,3,2,37,4,17,67,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,1,0,1,young-000ale,0,8,8,0,0,0,2024-03-15,
Unsung Heroes SP Floyd Youmans MON 1987,62084,67,8,0,1987,N,Montreal Expos,Youmans,Floyd,,17,11,5,1964,1,1,1,11,20,35,37,45,17,24,20,36,38,46,17,24,20,35,37,45,17,24,2,0,0,11,4,6,17,26,7,70,77,54,74,87,68,75,54,71,83,71,79,55,76,90,75,73,65,73,0,0,0,0,0,0,0,0,56,33,4,90-92,3,185,24,21,23,24,0,0,0,8,2,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,youman001flo,30,53,42,0,10001,0,2024-03-15,
All-Star 1B Kevin Youkilis BOS 2008,63472,80,5,0,2008,N,Boston Red Sox,Youkilis,Kevin,Youk,20,15,3,1979,1,1,3,0,77,96,88,76,67,86,87,113,104,90,79,87,75,90,83,72,63,86,1,0,0,45,30,49,54,4,1,1,10,1,1,18,1,9,1,1,18,1,10,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,83-85,3,185,38,81,60,32,0,0,0,10,3,2,0,0,72,0,49,0,0,0,0,0,1,0,1,0,0,0,0,7,3,10,0,0,youkil001kev,0,5498,1910,0,0,0,2024-03-15,
Snapshot 3B Eddie Yost WS1 1948,62752,44,7,0,1948,N,Washington Senators,Yost,Eddie,The Walking Man,7,13,10,1926,1,1,5,0,64,104,27,83,76,57,57,120,27,76,63,58,66,99,27,87,79,57,0,1,0,56,42,61,56,26,8,1,10,1,1,18,1,9,1,1,18,1,10,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,83-85,3,178,46,66,61,34,0,0,0,1,4,1,0,0,0,0,47,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,yost--001edw,8,38,28,0,5001,10000,2024-03-15,
MLB 2024 Live DH Masataka Yoshida BOS,61890,80,1,0,2024,N,Boston Red Sox,Yoshida,Masataka,,7,15,7,1993,2,1,10,0,86,72,74,69,103,73,82,69,72,67,102,69,88,74,75,70,103,75,0,0,0,29,18,76,49,49,34,1,27,1,1,53,1,27,1,1,52,1,27,1,1,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,75-80,4,173,38,40,29,38,0,0,0,52,57,49,0,0,0,0,0,0,58,0,46,0,1,1,1,0,1,1,1,8,3,10,0,0,yoshid002mas,1174,1499,1708,0,0,0,2024-03-15,
All-Star 1B Rudy York BOS 1946,63435,63,5,0,1946,N,Boston Red Sox,York,Rudy,,3,17,8,1913,1,1,3,0,59,77,87,86,53,72,57,93,103,95,47,73,61,74,82,83,55,72,3,1,0,33,22,62,23,11,7,1,10,1,1,18,1,9,1,1,18,1,10,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,83-85,3,185,46,63,47,33,0,0,0,10,4,9,0,0,76,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,0,1,york--001rud,26,44,46,0,10001,11945,2024-03-15,
Unsung Heroes RP Jim York HOU 1974,62096,42,8,0,1974,N,Houston Astros,York,Jim,,42,27,8,1947,1,1,1,12,19,35,38,52,16,23,19,35,38,52,16,23,19,35,38,52,16,23,0,0,0,5,4,6,5,26,7,38,71,70,117,44,36,66,68,109,41,39,74,72,129,46,0,25,0,0,0,0,25,0,0,0,0,0,17,42,2,91-93,3,191,28,21,24,24,0,0,0,5,2,9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,york--002jam,10,21,28,0,0,5001,2024-03-15,
Unsung Heroes SP Earl Yingling BRO 1913,62152,71,8,0,1913,N,Brooklyn Superbas,Yingling,Earl,,60,29,10,1888,2,2,1,11,52,48,44,69,56,55,52,47,43,67,56,55,53,49,45,70,57,56,1,2,0,44,33,44,49,21,5,34,72,156,72,66,34,72,156,72,66,34,72,156,72,66,23,20,25,23,0,0,0,0,0,0,0,0,103,67,2,89-91,4,183,27,21,27,35,0,0,0,10,7,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,0,0,yingli001ear,177,635,204,0,0,0,2024-03-15,
Snapshot SP Rich Yett CLE 1988,62506,40,7,0,1988,N,Cleveland,Yett,Rich,,42,6,10,1962,1,1,1,11,20,35,38,51,17,23,20,35,38,52,17,23,20,35,38,51,17,23,0,2,0,6,5,6,6,6,3,48,72,55,76,63,46,69,54,72,61,50,75,56,79,65,45,48,0,46,0,42,0,0,0,0,0,0,67,64,3,88-90,4,188,22,21,22,24,0,0,0,1,8,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,yett--001ric,8,43,20,0,5001,0,2024-03-15,
